pet_15705, 3370, 蛋糕, 甜點
pet_14573, 3383, 貓, 睡覺
pet_14282, 3383, 貓, 睡覺
pet_14940, 3383, 貓, 睡覺
pet_14866, 3383, 貓, 睡覺
pet_14638, 3383, 貓, 睡覺
pet_11459, 3383, 貓, 睡覺
pet_15748, 3365, 手, 身體
pet_2695, 3365, 腳, 身體
pet_14497, 3370, 果汁, 飲料
pet_15834, 3412, 肚子餓, 吃飯
pet_15705, 3366, 椅子, 木頭
pet_15681, 3354, 吃飯, 開心
pet_14266, 3354, 吃飯, 開心
pet_14983, 3354, 吃飯, 開心
pet_15082, 3354, 吃飯, 開心
pet_1764, 3389, 喝水, 口渴
pet_15706, 3353, 天氣熱, 游泳
pet_15645, 3380, 遙控器, 看電視
pet_15645, 3380, 遙控器, 看電視
pet_14779, 3380, 遙控器, 看電視
pet_14397, 3380, 遙控器, 看電視
pet_14479, 3380, 遙控器, 看電視
pet_14060, 3380, 遙控器, 看電視
pet_8980, 3380, 遙控器, 看電視
pet_14164, 3380, 遙控器, 看電視
pet_13688, 3380, 遙控器, 看電視
pet_13823, 3380, 遙控器, 看電視
pet_15785, 3380, 眼罩, 睡覺
pet_15694, 3383, 老師, 教書
pet_3362, 3383, 老師, 教書
pet_14733, 3383, 老師, 教書
pet_14262, 3383, 老師, 教書
pet_14262, 3383, 老師, 教書
pet_14147, 3370, 咖啡, 飲料
pet_14795, 3399, 酸梅, 酸
pet_8545, 3399, 酸梅, 酸
pet_15387, 3389, 休息, 累
pet_5949, 3389, 休息, 累
pet_13815, 3389, 休息, 累
pet_15281, 3353, 天氣熱, 脫衣服
pet_15829, 3365, 眼睛, 身體
pet_15879, 3365, 眼睛, 身體
pet_15712, 3384, 狗, 叫
pet_14952, 3384, 狗, 叫
pet_601, 3384, 狗, 叫
pet_13722, 3384, 狗, 叫
pet_12848, 3384, 狗, 叫
pet_14476, 3384, 狗, 叫
pet_4429, 3384, 狗, 叫
pet_13824, 3384, 狗, 叫
pet_12939, 3384, 狗, 叫
pet_13834, 3384, 狗, 叫
pet_864, 3365, 頭, 身體
pet_28, 3380, 盤子, 吃飯
pet_15503, 3380, 盤子, 吃飯
pet_15893, 3386, 賺錢, 養家
pet_15840, 3360, 吃飯, 禱告
pet_15785, 3360, 洗澡, 放熱水
pet_15893, 3383, 學生, 讀書
pet_15286, 3366, 椅子, 塑膠
pet_14573, 3366, 椅子, 塑膠
pet_13460, 3366, 椅子, 塑膠
pet_12907, 3366, 椅子, 塑膠
pet_15551, 3412, 累, 睡覺
pet_5949, 3412, 累, 睡覺
pet_13455, 3412, 累, 睡覺
pet_13376, 3412, 累, 睡覺
pet_15681, 3353, 生氣, 打人
pet_15417, 3353, 生氣, 打人
pet_13156, 3353, 生氣, 打人
pet_13972, 3353, 生氣, 打人
pet_15841, 3387, 打工, 錢
pet_15932, 3387, 打工, 錢
pet_15345, 3387, 打工, 錢
pet_1388, 3387, 打工, 錢
pet_14545, 3387, 打工, 錢
pet_12978, 3387, 打工, 錢
pet_14048, 3387, 打工, 錢
pet_15712, 3380, 洗面乳, 洗澡
pet_15091, 3380, 洗面乳, 洗澡
pet_14262, 3380, 洗面乳, 洗澡
pet_15834, 3380, 碗, 喝湯
pet_13722, 3380, 碗, 喝湯
pet_11562, 3380, 碗, 喝湯
pet_13544, 3380, 碗, 喝湯
pet_13376, 3380, 碗, 喝湯
pet_12078, 3380, 碗, 喝湯
pet_12116, 3380, 碗, 喝湯
pet_6136, 3360, 睡覺, 閉眼睛
pet_15190, 3360, 睡覺, 閉眼睛
pet_14223, 3360, 睡覺, 閉眼睛
pet_14562, 3360, 睡覺, 閉眼睛
pet_41, 3412, 火災, 打119
pet_14266, 3412, 火災, 打119
pet_14262, 3412, 無聊, 看電視
pet_14282, 3412, 無聊, 看電視
pet_14282, 3412, 無聊, 看電視
pet_15926, 3377, 學生, 學校
pet_15849, 3380, 吸管, 喝飲料
pet_15018, 3412, 開心, 大笑
pet_14051, 3412, 開心, 大笑
pet_4193, 3412, 開心, 大笑
pet_13751, 3412, 開心, 大笑
pet_13641, 3412, 開心, 大笑
pet_13441, 3412, 開心, 大笑
pet_5863, 3412, 開心, 大笑
pet_11316, 3412, 開心, 大笑
pet_11786, 3412, 開心, 大笑
pet_11809, 3412, 開心, 大笑
pet_15931, 3366, 蛋糕, 麵粉
pet_14505, 3412, 睡覺, 蓋被子
pet_14476, 3412, 睡覺, 蓋被子
pet_15841, 3370, 電腦, 工具
pet_15690, 3370, 電腦, 工具
pet_15898, 3380, 被子, 睡覺
pet_8827, 3380, 被子, 睡覺
pet_15670, 3380, 被子, 睡覺
pet_12939, 3380, 被子, 睡覺
pet_13626, 3380, 被子, 睡覺
pet_4002, 3365, 手指, 手
pet_9837, 3365, 手指, 手
pet_12848, 3365, 手指, 手
pet_8758, 3365, 手指, 手
pet_11556, 3365, 手指, 手
pet_10878, 3365, 手指, 手
pet_3686, 3365, 手指, 手
pet_15893, 3380, 嘴巴, 喝水
pet_37, 3353, 讀書, 睡覺
pet_601, 3353, 讀書, 睡覺
pet_12229, 3353, 讀書, 睡覺
pet_15837, 3389, 喝湯, 吃飯
pet_15417, 3366, 桌子, 鐵
pet_14834, 3366, 桌子, 鐵
pet_14795, 3366, 桌子, 鐵
pet_13641, 3389, 大便, 肚子痛
pet_5425, 3389, 大便, 肚子痛
pet_8230, 3389, 大便, 肚子痛
pet_5152, 3389, 大便, 肚子痛
pet_9457, 3389, 大便, 肚子痛
pet_15345, 3387, 買樂透, 錢
pet_37, 3387, 買樂透, 錢
pet_10661, 3393, 蟑螂, 殺蟲劑
pet_13229, 3393, 蟑螂, 殺蟲劑
pet_14520, 3393, 蟑螂, 殺蟲劑
pet_14268, 3393, 蟑螂, 殺蟲劑
pet_8827, 3380, 睡衣, 睡覺
pet_15694, 3380, 睡衣, 睡覺
pet_11480, 3380, 睡衣, 睡覺
pet_14568, 3380, 睡衣, 睡覺
pet_14220, 3380, 睡衣, 睡覺
pet_14220, 3380, 睡衣, 睡覺
pet_2747, 3380, 睡衣, 睡覺
pet_13922, 3380, 睡衣, 睡覺
pet_15669, 3353, 口渴, 喝水
pet_8980, 3353, 口渴, 喝水
pet_15669, 3415, 生日, 吹蠟燭
pet_14568, 3415, 生日, 吹蠟燭
pet_15082, 3415, 生日, 吹蠟燭
pet_15893, 3386, 賺錢, 生活
pet_15840, 3409, 白色, 純潔
pet_15837, 3388, 肚子餓, 吃飯
pet_14593, 3353, 天氣冷, 睡覺
pet_2747, 3385, 睡覺, 想睡
pet_15146, 3360, 吃飯, 盛飯
pet_41, 3360, 吃飯, 盛飯
pet_515, 3360, 吃飯, 盛飯
pet_9392, 3360, 吃飯, 盛飯
pet_13806, 3360, 吃飯, 盛飯
pet_15341, 3380, 雨衣, 下雨
pet_15810, 3380, 馬桶, 上廁所
pet_15417, 3380, 馬桶, 上廁所
pet_15417, 3380, 馬桶, 上廁所
pet_11803, 3380, 馬桶, 上廁所
pet_15879, 3365, 眼睛, 臉
pet_15645, 3365, 眼睛, 臉
pet_15132, 3365, 眼睛, 臉
pet_12108, 3365, 眼睛, 臉
pet_12142, 3365, 眼睛, 臉
pet_6470, 3365, 眼睛, 臉
pet_15837, 3391, 我, 錢
pet_13894, 3391, 我, 錢
pet_15353, 3391, 我, 錢
pet_15690, 3395, 老師, 壞學生
pet_15669, 3395, 老師, 壞學生
pet_15651, 3395, 老師, 壞學生
pet_14568, 3395, 老師, 壞學生
pet_15683, 3380, 蓮蓬頭, 洗澡
pet_15091, 3380, 蓮蓬頭, 洗澡
pet_14573, 3380, 蓮蓬頭, 洗澡
pet_14573, 3380, 蓮蓬頭, 洗澡
pet_10584, 3380, 筷子, 吃麵
pet_12363, 3380, 筷子, 吃麵
pet_12181, 3380, 筷子, 吃麵
pet_11147, 3380, 筷子, 吃麵
pet_5506, 3380, 筷子, 吃麵
pet_6272, 3380, 筷子, 吃麵
pet_3427, 3380, 筷子, 吃麵
pet_6493, 3380, 筷子, 吃麵
pet_13675, 3389, 睡覺, 很累
pet_8581, 3384, 手機, 震動
pet_14573, 3384, 手機, 震動
pet_15748, 3353, 生病, 睡覺
pet_10842, 3353, 生病, 睡覺
pet_14675, 3353, 生病, 睡覺
pet_14117, 3389, 上PTT, 無聊
pet_15333, 3353, 看書, 睡覺
pet_11097, 3353, 看書, 睡覺
pet_15748, 3380, 錢, 逛街
pet_8581, 3380, 錢, 逛街
pet_14805, 3380, 錢, 逛街
pet_864, 3380, 錢, 逛街
pet_15172, 3412, 睡覺, 做夢
pet_15465, 3412, 睡覺, 做夢
pet_14573, 3412, 睡覺, 做夢
pet_15219, 3366, 書桌, 木頭
pet_14795, 3366, 書桌, 木頭
pet_14476, 3370, 沙發, 家具
pet_14573, 3383, 狗, 吃飯
pet_13119, 3383, 狗, 吃飯
pet_13060, 3383, 狗, 吃飯
pet_13780, 3383, 狗, 吃飯
pet_13715, 3383, 狗, 吃飯
pet_15837, 3377, 醫生, 醫院
pet_15645, 3380, 電腦, 無聊
pet_15900, 3391, 你, 錢
pet_15837, 3377, 護士, 醫院
pet_15841, 3383, 我, 吃飯
pet_15841, 3383, 我, 吃飯
pet_15662, 3383, 我, 吃飯
pet_15737, 3383, 我, 吃飯
pet_15737, 3383, 我, 吃飯
pet_13731, 3383, 我, 吃飯
pet_12998, 3383, 我, 吃飯
pet_13131, 3383, 我, 吃飯
pet_15760, 3415, 家裡, 睡覺
pet_15157, 3415, 家裡, 睡覺
pet_14795, 3415, 家裡, 睡覺
pet_12116, 3415, 家裡, 睡覺
pet_15898, 3383, 你, 睡覺
pet_15841, 3383, 你, 睡覺
pet_15662, 3383, 你, 睡覺
pet_14573, 3383, 你, 睡覺
pet_8581, 3383, 你, 睡覺
pet_15834, 3365, 嘴巴, 身體
pet_15637, 3365, 嘴巴, 身體
pet_14592, 3365, 嘴巴, 身體
pet_5899, 3365, 嘴巴, 身體
pet_2695, 3365, 嘴巴, 身體
pet_6493, 3365, 嘴巴, 身體
pet_6790, 3365, 嘴巴, 身體
pet_14706, 3415, 情人節, 約會
pet_12479, 3415, 情人節, 約會
pet_14548, 3412, 開心, 笑
pet_14987, 3412, 開心, 笑
pet_12939, 3399, 苦瓜, 苦的
pet_15881, 3354, 唱歌, 開心
pet_11449, 3380, 杯子, 喝飲料
pet_10867, 3380, 杯子, 喝飲料
pet_11212, 3380, 杯子, 喝飲料
pet_10196, 3380, 杯子, 喝飲料
pet_10488, 3380, 杯子, 喝飲料
pet_4578, 3380, 杯子, 喝飲料
pet_2977, 3380, 杯子, 喝飲料
pet_3203, 3380, 杯子, 喝飲料
pet_3051, 3380, 杯子, 喝飲料
pet_1339, 3380, 杯子, 喝飲料
pet_15841, 3383, 你, 吃飯
pet_15841, 3383, 你, 吃飯
pet_15662, 3383, 你, 吃飯
pet_14573, 3383, 你, 吃飯
pet_8581, 3383, 你, 吃飯
pet_15503, 3366, 房子, 水泥
pet_14228, 3366, 房子, 水泥
pet_12848, 3378, 馬桶, 廁所
pet_13455, 3378, 馬桶, 廁所
pet_13455, 3386, 運動, 減肥
pet_14269, 3393, 學生, 考試
pet_12822, 3393, 學生, 考試
pet_14269, 3393, 學生, 考試
pet_7167, 3393, 學生, 考試
pet_14306, 3393, 學生, 考試
pet_11108, 3393, 學生, 考試
pet_11834, 3383, 狗, 睡覺
pet_11915, 3383, 狗, 睡覺
pet_13060, 3383, 狗, 睡覺
pet_13780, 3383, 狗, 睡覺
pet_13455, 3383, 狗, 睡覺
pet_15705, 3356, 口渴, 喝水
pet_15810, 3389, 唱歌, 快樂
pet_15810, 3389, 唱歌, 快樂
pet_15712, 3384, 貓, 叫
pet_8581, 3384, 貓, 叫
pet_13722, 3384, 貓, 叫
pet_11284, 3384, 貓, 叫
pet_4429, 3384, 貓, 叫
pet_13824, 3384, 貓, 叫
pet_13626, 3384, 貓, 叫
pet_15440, 3383, 貓, 喵喵叫
pet_11459, 3383, 貓, 喵喵叫
pet_5773, 3383, 貓, 喵喵叫
pet_12939, 3353, 流汗, 洗澡
pet_14288, 3353, 流汗, 洗澡
pet_14048, 3353, 流汗, 洗澡
pet_13379, 3353, 流汗, 洗澡
pet_14573, 3383, 貓, 吃飯
pet_14573, 3383, 貓, 吃飯
pet_13119, 3383, 貓, 吃飯
pet_14033, 3383, 貓, 吃飯
pet_15834, 3365, 嘴巴, 臉
pet_15637, 3365, 嘴巴, 臉
pet_14592, 3365, 嘴巴, 臉
pet_11845, 3365, 嘴巴, 臉
pet_5899, 3365, 嘴巴, 臉
pet_2695, 3365, 嘴巴, 臉
pet_6493, 3365, 嘴巴, 臉
pet_6790, 3365, 嘴巴, 臉
pet_14228, 3366, 房子, 木頭
pet_15181, 3412, 下雨, 撐傘
pet_11915, 3412, 下雨, 撐傘
pet_12479, 3387, 早睡早起, 健康的身體
pet_6493, 3356, 開心, 快樂
pet_15670, 3356, 開心, 快樂
pet_9844, 3377, 黑板, 教室
pet_15286, 3366, 椅子, 鐵
pet_14568, 3366, 椅子, 鐵
pet_15673, 3378, 床, 房間
pet_14391, 3378, 床, 房間
pet_13226, 3378, 床, 房間
pet_12824, 3378, 床, 房間
pet_11453, 3378, 床, 房間
pet_15881, 3415, 學校, 上課
pet_12878, 3378, 同學, 學校
pet_5425, 3378, 同學, 學校
pet_11463, 3399, 黃蓮, 苦
pet_15033, 3380, 湯匙, 吃冰
pet_15834, 3412, 睡覺, 閉眼睛
pet_14476, 3412, 睡覺, 閉眼睛
pet_14884, 3412, 睡覺, 閉眼睛
pet_14952, 3412, 睡覺, 閉眼睛
pet_15049, 3380, 筷子, 夾菜
pet_196, 3380, 筷子, 夾菜
pet_15379, 3391, 肚子餓, 吃飯
pet_15201, 3391, 肚子餓, 吃飯
pet_15379, 3388, 開音響, 聽音樂
pet_15254, 3388, 開音響, 聽音樂
pet_11451, 3388, 開音響, 聽音樂
pet_13251, 3388, 開音響, 聽音樂
pet_15662, 3380, 衛生紙, 哭
pet_12711, 3387, 運動, 健康的身體
pet_13455, 3387, 運動, 健康的身體
pet_13038, 3387, 運動, 健康的身體
pet_12513, 3387, 運動, 健康的身體
pet_15834, 3365, 鍵盤, 電腦
pet_15748, 3365, 鍵盤, 電腦
pet_10161, 3365, 鍵盤, 電腦
pet_10239, 3365, 鍵盤, 電腦
pet_10350, 3365, 鍵盤, 電腦
pet_7830, 3365, 鍵盤, 電腦
pet_9608, 3368, 桌子, 木頭
pet_127, 3368, 桌子, 木頭
pet_15387, 3388, 開電視, 看電視
pet_15391, 3388, 開電視, 看電視
pet_13246, 3388, 開電視, 看電視
pet_12840, 3388, 開電視, 看電視
pet_12510, 3388, 開電視, 看電視
pet_15090, 3356, 運動, 健康
pet_4238, 3356, 運動, 健康
pet_14282, 3395, 學生, 作業
pet_15674, 3385, 唱歌, 開心
pet_14573, 3385, 唱歌, 開心
pet_14220, 3385, 唱歌, 開心
pet_9837, 3385, 唱歌, 開心
pet_11796, 3389, 洗澡, 流汗
pet_15881, 3380, 水, 口渴
pet_15651, 3380, 水, 口渴
pet_15551, 3380, 水, 口渴
pet_5172, 3380, 水, 口渴
pet_14269, 3378, 熊貓, 動物園
pet_13824, 3378, 熊貓, 動物園
pet_4193, 3378, 熊貓, 動物園
pet_15645, 3365, 眼睛, 頭
pet_15670, 3360, 洗澡, 開水
pet_15271, 3360, 洗澡, 開水
pet_13873, 3360, 洗澡, 開水
pet_14388, 3360, 洗澡, 開水
pet_386, 3380, 腳, 走路
pet_15841, 3380, 腳, 走路
pet_15673, 3380, 腳, 走路
pet_12486, 3380, 腳, 走路
pet_9585, 3380, 腳, 走路
pet_9569, 3380, 腳, 走路
pet_5899, 3380, 腳, 走路
pet_6824, 3380, 腳, 走路
pet_15142, 3393, 老鼠, 人
pet_12794, 3393, 老鼠, 人
pet_13534, 3393, 老鼠, 人
pet_15645, 3393, 烏龜, 鐵鎚
pet_14963, 3391, 老師, 上課
pet_12229, 3390, 男人, 女人
pet_14101, 3384, 我, 睡覺
pet_12498, 3365, 腳趾, 腳
pet_14562, 3392, 老師, 壞學生
pet_11459, 3412, 餓, 吃飯
pet_14282, 3383, 學生, 唸書
pet_14282, 3383, 學生, 唸書
pet_14517, 3383, 學生, 考試
pet_13873, 3383, 學生, 考試
pet_14282, 3383, 學生, 考試
pet_14568, 3395, 上班族, 加班
pet_14043, 3395, 上班族, 加班
pet_5459, 3365, 頭髮, 頭
pet_11837, 3365, 頭髮, 頭
pet_14818, 3389, 哭, 傷心
pet_15451, 3380, 球, 打球
pet_15712, 3380, 洗髮乳, 洗澡
pet_15417, 3380, 洗髮乳, 洗澡
pet_15829, 3385, 吃東西, 肚子餓
pet_14220, 3389, 睡覺, 疲勞
pet_13824, 3380, 叉子, 吃牛排
pet_12078, 3380, 叉子, 吃牛排
pet_601, 3353, 看電視, 睡覺
pet_14282, 3353, 看電視, 睡覺
pet_14760, 3391, 老師, 好學生
pet_14693, 3391, 老師, 好學生
pet_15836, 3353, 天氣熱, 睡覺
pet_15660, 3353, 天氣冷, 穿外套
pet_15660, 3353, 天氣冷, 穿外套
pet_14476, 3353, 天氣冷, 穿外套
pet_14476, 3353, 天氣冷, 穿外套
pet_15681, 3368, 蛋糕, 奶油
pet_11826, 3368, 蛋糕, 奶油
pet_10936, 3368, 蛋糕, 奶油
pet_7929, 3368, 蛋糕, 奶油
pet_2916, 3368, 蛋糕, 奶油
pet_10320, 3366, 杯子, 塑膠
pet_13232, 3366, 杯子, 塑膠
pet_10424, 3366, 杯子, 塑膠
pet_15091, 3388, 開電腦, 上網
pet_13675, 3388, 開電腦, 上網
pet_1365, 3388, 開電腦, 上網
pet_12609, 3388, 開電腦, 上網
pet_12481, 3389, 哭, 失戀
pet_15773, 3360, 睡覺, 閉上眼睛
pet_15548, 3360, 睡覺, 閉上眼睛
pet_11562, 3360, 睡覺, 閉上眼睛
pet_2874, 3360, 睡覺, 閉上眼睛
pet_14019, 3360, 睡覺, 閉上眼睛
pet_11282, 3388, 跑步, 運動
pet_13270, 3388, 跑步, 運動
pet_13270, 3388, 跑步, 運動
pet_14132, 3389, 吃東西, 餓
pet_625, 3356, 失戀, 難過
pet_15670, 3356, 失戀, 難過
pet_14033, 3356, 失戀, 難過
pet_15834, 3412, 睡覺, 蓋棉被
pet_14568, 3412, 睡覺, 蓋棉被
pet_2747, 3412, 睡覺, 蓋棉被
pet_10277, 3412, 睡覺, 蓋棉被
pet_14590, 3392, 學生, 零分
pet_99, 3360, 吃飯, 拿碗筷
pet_12203, 3360, 吃飯, 拿碗筷
pet_14518, 3360, 吃飯, 拿碗筷
pet_15227, 3386, 讀書, 自己
pet_248, 3386, 讀書, 自己
pet_14269, 3386, 讀書, 自己
pet_15286, 3353, 疲勞, 睡覺
pet_15417, 3353, 疲勞, 睡覺
pet_13722, 3383, 貓咪, 睡覺
pet_14844, 3370, 柳橙汁, 飲料
pet_15881, 3356, 快樂, 唱歌
pet_15785, 3354, 看書, 變聰明
pet_15672, 3354, 看書, 變聰明
pet_14938, 3354, 失戀, 想哭
pet_14047, 3378, 水果, 冰箱
pet_11108, 3378, 水果, 冰箱
pet_13376, 3378, 水果, 冰箱
pet_14866, 3389, 睡覺, 晚上
pet_13358, 3389, 睡覺, 疲倦
pet_15881, 3380, 牙刷, 刷牙
pet_15898, 3395, 老師, 學生
pet_15145, 3395, 老師, 學生
pet_13626, 3380, 手, 寫字
pet_12530, 3380, 手, 寫字
pet_15290, 3389, 吃飯, 中午
pet_6049, 3389, 吃飯, 中午
pet_2695, 3389, 吃飯, 中午
pet_14930, 3389, 聽音樂, 無聊
pet_12229, 3389, 聽音樂, 無聊
pet_13226, 3389, 聽音樂, 無聊
pet_248, 3389, 聽音樂, 無聊
pet_15841, 3356, 愛, 快樂
pet_12446, 3389, 上廁所, 肚子痛
pet_13641, 3389, 上廁所, 肚子痛
pet_15254, 3390, 我, 睡覺
pet_15952, 3393, 爸爸, 媽媽
pet_15486, 3389, 大叫, 開心
pet_14117, 3366, 鉛筆, 木頭
pet_12134, 3353, 夏天, 游泳
pet_10276, 3353, 失戀, 哭
pet_1764, 3389, 喝飲料, 口渴
pet_15881, 3380, 牙膏, 刷牙
pet_15810, 3380, 水, 上廁所
pet_14592, 3365, 嘴巴, 頭
pet_11845, 3365, 嘴巴, 頭
pet_6493, 3365, 嘴巴, 頭
pet_14476, 3380, 滑鼠, 打電腦
pet_12381, 3380, 滑鼠, 打電腦
pet_13423, 3380, 滑鼠, 打電腦
pet_12840, 3380, 滑鼠, 打電腦
pet_14476, 3380, 鍵盤, 打電腦
pet_12381, 3380, 鍵盤, 打電腦
pet_13423, 3380, 鍵盤, 打電腦
pet_15700, 3412, 洗澡, 脫衣服
pet_14266, 3412, 洗澡, 脫衣服
pet_601, 3412, 洗澡, 脫衣服
pet_386, 3380, 吸管, 喝水
pet_10584, 3380, 碗, 吃麵
pet_12363, 3380, 碗, 吃麵
pet_12181, 3380, 碗, 吃麵
pet_6272, 3380, 碗, 吃麵
pet_14020, 3371, 老師, 學校
pet_64, 3371, 老師, 學校
pet_64, 3371, 老師, 學校
pet_13229, 3383, 魚, 游泳
pet_13782, 3383, 魚, 游泳
pet_15677, 3380, 手, 打球
pet_13874, 3380, 手, 打球
pet_14561, 3380, 手, 打球
pet_15712, 3353, 肚子餓, 吃麵
pet_15753, 3353, 肚子餓, 吃麵
pet_15841, 3388, 拿遙控器, 看電視
pet_15387, 3388, 拿遙控器, 看電視
pet_15286, 3380, 泳帽, 游泳
pet_13925, 3356, 肚子餓, 吃東西
pet_13925, 3356, 肚子餓, 吃東西
pet_15035, 3387, 讀書, 錢
pet_14266, 3412, 火災, 逃跑
pet_14837, 3370, 沙發, 椅子
pet_15224, 3386, 賺錢, 買東西
pet_15473, 3399, 檸檬, 酸的
pet_14562, 3357, 工作, 金錢
pet_12459, 3357, 工作, 金錢
pet_15696, 3365, 耳朵, 身體
pet_15672, 3365, 耳朵, 身體
pet_14216, 3378, 北極熊, 北極
pet_12574, 3399, 海水, 鹹
pet_15841, 3388, 打開電視, 看電視
pet_14568, 3395, 上班族, 減薪
pet_15712, 3415, 選舉日, 投票
pet_15660, 3415, 選舉日, 投票
pet_7729, 3409, 笑, 快樂
pet_12848, 3387, 睡覺, 精神
pet_3904, 3387, 睡覺, 精神
pet_11396, 3387, 睡覺, 精神
pet_11445, 3387, 睡覺, 精神
pet_10023, 3387, 睡覺, 精神
pet_15748, 3354, 吃飯, 想睡覺
pet_15219, 3383, 豬, 吃
pet_13722, 3383, 豬, 吃
pet_15681, 3354, 睡覺, 作夢
pet_14269, 3354, 睡覺, 作夢
pet_3647, 3355, 睡覺, 打呼
pet_13873, 3353, 累, 睡覺
pet_14514, 3353, 累, 睡覺
pet_13873, 3383, 學生, 上課
pet_14282, 3383, 學生, 上課
pet_14302, 3387, 吃飯, 體力
pet_12978, 3387, 吃飯, 體力
pet_10276, 3386, 上班, 賺錢
pet_15669, 3388, 去睡覺, 睡覺
pet_15837, 3388, 去睡覺, 睡覺
pet_15810, 3388, 去睡覺, 睡覺
pet_15722, 3409, 紅色, 喜氣
pet_15379, 3409, 紅色, 喜氣
pet_11834, 3412, 下雨, 穿雨衣
pet_15810, 3393, 女生, 蟑螂
pet_2747, 3385, 大笑, 快樂
pet_14216, 3385, 大笑, 快樂
pet_12495, 3380, 保險套, 做愛
pet_14202, 3399, 蛋糕, 甜
pet_15665, 3353, 生氣, 罵人
pet_15417, 3353, 生氣, 罵人
pet_15837, 3377, 病人, 醫院
pet_15840, 3360, 吃飯, 喝湯
pet_14091, 3360, 吃飯, 喝湯
pet_14573, 3409, 紅色, 危險
pet_12354, 3409, 紅色, 危險
pet_248, 3366, 桌子, 木材
pet_15670, 3409, 綠色, 環保
pet_15415, 3409, 綠色, 環保
pet_14491, 3409, 綠色, 環保
pet_15645, 3393, 老鼠, 狗
pet_14839, 3393, 老鼠, 狗
pet_11482, 3399, 糖, 甜
pet_15645, 3380, 電視, 無聊
pet_14927, 3380, 電視, 無聊
pet_13308, 3380, 電視, 無聊
pet_7167, 3386, 休息, 睡覺
pet_15893, 3386, 賺錢, 吃飯
pet_15826, 3377, 洗手台, 廁所
pet_3362, 3377, 洗手台, 廁所
pet_9837, 3377, 洗手台, 廁所
pet_15077, 3353, 天氣熱, 去海邊
pet_1339, 3353, 天氣熱, 去海邊
pet_12479, 3380, 碗, 喝水
pet_13101, 3380, 碗, 喝水
pet_10973, 3380, 碗, 喝水
pet_15773, 3380, 耳機, 聽音樂
pet_12956, 3380, 耳機, 聽音樂
pet_9837, 3380, 耳機, 聽音樂
pet_13008, 3380, 耳機, 聽音樂
pet_12277, 3380, 耳機, 聽音樂
pet_12280, 3380, 耳機, 聽音樂
pet_10806, 3380, 耳機, 聽音樂
pet_8230, 3380, 耳機, 聽音樂
pet_14479, 3380, 眼睛, 看電視
pet_12848, 3380, 眼睛, 看電視
pet_12864, 3380, 眼睛, 看電視
pet_15748, 3365, 滑鼠, 電腦
pet_15651, 3365, 滑鼠, 電腦
pet_15754, 3354, 讀書, 變聰明
pet_15345, 3354, 讀書, 變聰明
pet_15061, 3357, 拜拜, 好運
pet_15778, 3360, 刷牙, 擠牙膏
pet_3362, 3360, 刷牙, 擠牙膏
pet_15645, 3360, 刷牙, 擠牙膏
pet_9670, 3360, 刷牙, 擠牙膏
