pet_22818, 3377, 雜貨店, 巧克力
pet_22521, 3377, 大賣場, 葡萄汁
pet_22917, 3377, 超市, 葡萄汁
pet_19806, 3377, 超市, 葡萄汁
pet_22521, 3377, 超市, 葡萄汁
pet_19806, 3377, 超市, 葡萄汁
pet_19806, 3377, 冰箱, 葡萄汁
pet_22521, 3377, 冰箱, 葡萄汁
pet_19806, 3377, 冰箱, 葡萄汁
pet_22917, 3377, 葡萄, 葡萄汁
pet_22917, 3377, 賣葡萄的店, 葡萄汁
pet_22102, 3377, 葡萄園, 葡萄汁
pet_22917, 3377, 葡萄園, 葡萄汁
pet_22811, 3377, 超市, 可可
pet_22708, 3377, 超市, 可可
pet_14033, 3377, 超市, 可可
pet_22940, 3377, 飲料店, 可可
pet_22708, 3377, 飲料店, 可可
pet_22708, 3377, 麥當勞, 可可
pet_22708, 3377, 香港, 可可
pet_22811, 3377, 愛買, 可可
pet_22940, 3377, 大潤發, 可可
pet_22811, 3377, 大潤發, 可可
pet_22811, 3377, 雜貨店, 可可
pet_22811, 3377, 便利商店, 可可
pet_386, 3377, 巧克力牛奶, 可可
pet_22893, 3377, 菜園, 花椰菜
pet_22887, 3377, 菜園, 花椰菜
pet_22986, 3377, 菜市場, 花椰菜
pet_22986, 3377, 菜市場, 花椰菜
pet_22887, 3377, 菜市場, 花椰菜
pet_22913, 3377, 菜市場, 花椰菜
pet_22986, 3377, 超市, 花椰菜
pet_22887, 3377, 冰箱, 花椰菜
pet_22887, 3377, 餐廳, 花椰菜
pet_22951, 3377, 田裡, 花椰菜
pet_22986, 3377, 大賣場, 花椰菜
pet_22986, 3377, 家樂福, 花椰菜
pet_22986, 3377, 家樂福, 花椰菜
pet_22913, 3377, 家樂福, 花椰菜
pet_22986, 3377, 蔬菜園, 花椰菜
pet_22986, 3377, 農場, 花椰菜
pet_22893, 3377, 市場, 花椰菜
pet_22986, 3377, 田園, 花椰菜
pet_22986, 3377, 賣場, 花椰菜
pet_22760, 3377, 田裡, 南瓜
pet_22901, 3377, 菜市場, 南瓜
pet_22913, 3377, 菜市場, 南瓜
pet_22760, 3377, 市場, 南瓜
pet_10686, 3377, 市場, 南瓜
pet_22760, 3377, 家裡, 南瓜
pet_22760, 3377, 土裡, 南瓜
pet_22913, 3377, 家樂福, 南瓜
pet_22913, 3377, 家樂福, 南瓜
pet_22913, 3377, 大潤發, 南瓜
pet_22913, 3377, 大潤發, 南瓜
pet_22913, 3377, 全連福利中心, 南瓜
pet_22913, 3377, 全連福利中心, 南瓜
pet_22776, 3377, 萬聖節, 南瓜
pet_22913, 3377, 萬聖節, 南瓜
pet_22913, 3377, 萬聖節, 南瓜
pet_22776, 3377, 南瓜田, 南瓜
pet_22913, 3377, 南瓜田, 南瓜
pet_22901, 3377, 大賣場, 南瓜
pet_22901, 3377, 南瓜園, 南瓜
pet_23103, 3377, 超市, 番茄
pet_22776, 3377, 超市, 番茄
pet_22901, 3377, 超市, 番茄
pet_22776, 3377, 水果店, 番茄
pet_10584, 3377, 水果店, 番茄
pet_23103, 3377, 番茄園, 番茄
pet_22940, 3377, 番茄園, 番茄
pet_22888, 3377, 市場, 番茄
pet_15077, 3377, 市場, 番茄
pet_23103, 3377, 菜市場, 番茄
pet_22776, 3377, 菜市場, 番茄
pet_20785, 3377, 菜市場, 番茄
pet_22776, 3377, 冰箱, 番茄
pet_22888, 3377, 冰箱, 番茄
pet_10842, 3377, 冰箱, 番茄
pet_22754, 3377, 田裡, 番茄
pet_10842, 3377, 田裡, 番茄
pet_20785, 3377, 菜園, 番茄
pet_22901, 3377, 菜園, 番茄
pet_22940, 3377, 生菜沙拉, 番茄
pet_22940, 3377, 家樂福, 番茄
pet_22940, 3377, 水果攤, 番茄
pet_22921, 3377, 超市, 芥菜
pet_22901, 3377, 超市, 芥菜
pet_22521, 3377, 超市, 芥菜
pet_22921, 3377, 菜市場, 芥菜
pet_22901, 3377, 菜市場, 芥菜
pet_22521, 3377, 菜市場, 芥菜
pet_22921, 3377, 菜園, 芥菜
pet_22901, 3377, 菜園, 芥菜
pet_22875, 3377, 市場, 芥菜
pet_22875, 3377, 田裡, 芥菜
pet_22901, 3377, 自助餐店, 芥菜
pet_22901, 3377, 大賣場, 芥菜
pet_22893, 3377, 綜藝節目, 胡瓜
pet_21179, 3377, 綜藝節目, 胡瓜
pet_22897, 3377, 綜藝節目, 胡瓜
pet_22913, 3377, 綜藝節目, 胡瓜
pet_22893, 3377, 餐桌上, 胡瓜
pet_13722, 3377, 餐桌上, 胡瓜
pet_21179, 3377, 菜市場, 胡瓜
pet_22897, 3377, 菜市場, 胡瓜
pet_22502, 3377, 菜市場, 胡瓜
pet_13722, 3377, 菜市場, 胡瓜
pet_22897, 3377, 超市, 胡瓜
pet_13722, 3377, 超市, 胡瓜
pet_22482, 3377, 電視節目, 胡瓜
pet_22897, 3377, 電視節目, 胡瓜
pet_22913, 3377, 電視節目, 胡瓜
pet_22897, 3377, 瓜園, 胡瓜
pet_22102, 3377, 電視節目裡, 胡瓜
pet_22893, 3377, 超級市場, 胡瓜
pet_22893, 3377, 胡瓜棚, 胡瓜
pet_22893, 3377, 傳統市場, 胡瓜
pet_22102, 3377, 瓜田, 胡瓜
pet_22416, 3377, 雜貨店, 花生
pet_22961, 3377, 土裡, 花生
pet_22832, 3377, 菜粽, 花生
pet_22502, 3377, 全家, 花生
pet_22502, 3377, 全聯, 花生
pet_22502, 3377, 大潤發, 花生
pet_22961, 3377, 愛之味, 花生
pet_22502, 3377, 愛買, 花生
pet_22832, 3377, 花生醬, 花生
pet_22832, 3377, 土豆麵筋罐頭, 花生
pet_22832, 3377, 花生田, 花生
pet_22325, 3377, 餐桌, 花生
pet_22325, 3377, 田裡, 花生
pet_22917, 3377, 豬, 豬皮
pet_920, 3377, 豬, 豬皮
pet_12134, 3377, 豬身上, 豬皮
pet_22932, 3377, 豬身上, 豬皮
pet_22482, 3377, 豬身上, 豬皮
pet_22897, 3377, 屠宰場, 豬皮
pet_22482, 3377, 市場, 豬皮
pet_23105, 3377, 豬肉店, 豬皮
pet_12134, 3377, 豬皮凍, 豬皮
pet_22932, 3377, 滷味攤, 豬皮
pet_22893, 3377, 豬上, 豬皮
pet_12134, 3377, 米粉湯店裡, 豬皮
pet_12134, 3377, 黑白切裡, 豬皮
pet_22909, 3377, 廚房, 鹽
pet_15430, 3377, 廚房, 鹽
pet_22811, 3377, 雜貨店, 鹽
pet_22909, 3377, 雜貨店, 鹽
pet_22811, 3377, 大潤發, 鹽
pet_15027, 3377, 大潤發, 鹽
pet_22811, 3377, 便利商店, 鹽
pet_22909, 3377, 便利商店, 鹽
pet_22935, 3377, 鹽巴裡面, 鹽
pet_22909, 3377, 大賣場, 鹽
pet_15430, 3377, 大賣場, 鹽
pet_22909, 3377, 餐廳, 鹽
pet_22811, 3377, 超市, 鹽
pet_15430, 3377, 超市, 鹽
pet_22811, 3377, 愛買, 鹽
pet_22917, 3377, 海裡, 鹽
pet_22917, 3377, 大海, 鹽
pet_22917, 3377, 鹽井, 鹽
pet_22665, 3377, 餐廳, 醬油
pet_22665, 3377, 桌上, 醬油
pet_22863, 3377, 廚房, 醬油
pet_22665, 3377, 廚房, 醬油
pet_22818, 3377, 廚房, 醬油
pet_22863, 3377, 超市, 醬油
pet_22818, 3377, 超市, 醬油
pet_22863, 3377, 大賣場, 醬油
pet_22818, 3377, 大賣場, 醬油
pet_21988, 3377, 雜貨店, 醬油
pet_22863, 3377, 雜貨店, 醬油
pet_22818, 3377, 雜貨店, 醬油
pet_22832, 3377, 雜貨店, 醬油
pet_22818, 3377, 市場, 醬油
pet_21988, 3377, 量販店, 醬油
pet_22665, 3377, 量販店, 醬油
pet_22708, 3377, 全聯, 黑胡椒
pet_819, 3377, 全聯, 黑胡椒
pet_22935, 3377, 玉米濃湯, 黑胡椒
pet_22708, 3377, 餐廳, 黑胡椒
pet_819, 3377, 餐廳, 黑胡椒
pet_22893, 3377, 廚房, 黑胡椒
pet_22893, 3377, 雜貨店, 黑胡椒
pet_22893, 3377, 超級市場, 黑胡椒
pet_22893, 3377, 香料店, 黑胡椒
pet_22998, 3377, 牛排, 黑胡椒
pet_22940, 3377, 餐廳桌上, 黑胡椒
pet_22940, 3377, 早餐店櫃檯, 黑胡椒
pet_22998, 3377, 國外, 黑胡椒
pet_22998, 3377, 漢堡, 黑胡椒
pet_22708, 3377, 我家廚房, 黑胡椒
pet_22708, 3377, 頂好超市, 黑胡椒
pet_22708, 3377, 牛排館, 黑胡椒
pet_22917, 3377, 湯圓, 芝麻
pet_23103, 3377, 蛋捲, 芝麻
pet_22482, 3377, 蛋捲, 芝麻
pet_13874, 3377, 蛋捲, 芝麻
pet_21661, 3377, 超市, 芝麻
pet_15035, 3377, 超市, 芝麻
pet_22482, 3377, 市場, 芝麻
pet_23103, 3377, 燒餅, 芝麻
pet_22998, 3377, 燒餅, 芝麻
pet_22482, 3377, 燒餅, 芝麻
pet_22998, 3377, 漢堡, 芝麻
pet_22482, 3377, 漢堡, 芝麻
pet_22777, 3377, 麵包上, 芝麻
pet_22777, 3377, 燒餅上, 芝麻
pet_22562, 3377, 深林, 芝麻
pet_22562, 3377, 深林, 芝麻
pet_23017, 3377, 花園, 羅勒
pet_19179, 3377, 花園, 羅勒
pet_14938, 3377, 花園, 羅勒
pet_22917, 3377, 鹽酥雞, 羅勒
pet_22897, 3377, 鹽酥雞, 羅勒
pet_20408, 3377, 香料裡, 羅勒
pet_20408, 3377, 異國料理裡, 羅勒
pet_23017, 3377, 餐廳, 羅勒
pet_19179, 3377, 餐廳, 羅勒
pet_19179, 3377, 植物園, 羅勒
pet_23144, 3377, 草堆, 羅勒
pet_14943, 3377, 廚房, 辣椒粉
pet_22482, 3377, 廚房, 辣椒粉
pet_15430, 3377, 廚房, 辣椒粉
pet_14845, 3377, 廚房, 辣椒粉
pet_14943, 3377, 餐廳, 辣椒粉
pet_22482, 3377, 餐廳, 辣椒粉
pet_22416, 3377, 餐廳, 辣椒粉
pet_22416, 3377, 家樂福, 辣椒粉
pet_22818, 3377, 超市, 辣椒粉
pet_22818, 3377, 市場, 辣椒粉
pet_14943, 3377, 大賣場, 辣椒粉
pet_22482, 3377, 大賣場, 辣椒粉
pet_22416, 3377, 大賣場, 辣椒粉
pet_22818, 3377, 大賣場, 辣椒粉
pet_15430, 3377, 大賣場, 辣椒粉
pet_22818, 3377, 雜貨店, 辣椒粉
pet_22482, 3377, 便利商店, 辣椒粉
pet_22818, 3377, 便利商店, 辣椒粉
pet_22482, 3377, 雞排, 辣椒粉
pet_15430, 3377, 雞排, 辣椒粉
pet_22863, 3377, 花園, 迷迭香
pet_19179, 3377, 花園, 迷迭香
pet_22521, 3377, 義大利麵, 迷迭香
pet_20408, 3377, 異國料理裡, 迷迭香
pet_20408, 3377, 183專輯, 迷迭香
pet_22776, 3377, 香料裡, 迷迭香
pet_20408, 3377, 香料裡, 迷迭香
pet_22863, 3377, 花店, 迷迭香
pet_23050, 3377, 花店, 迷迭香
pet_17596, 3377, 花店, 迷迭香
pet_21629, 3377, 精油店, 迷迭香
pet_22863, 3377, 香草店, 迷迭香
pet_22372, 3377, 香草店, 迷迭香
pet_19179, 3377, 餐廳, 迷迭香
pet_19179, 3377, 植物園, 迷迭香
pet_23050, 3377, 大賣場, 迷迭香
pet_22863, 3377, 義大利麵上, 迷迭香
pet_22521, 3377, 生魚片, 芥末
pet_20208, 3377, 生魚片, 芥末
pet_4283, 3377, 生魚片, 芥末
pet_11459, 3377, 生魚片, 芥末
pet_22904, 3377, 日本料理店, 芥末
pet_20208, 3377, 日本料理店, 芥末
pet_22777, 3377, 壽司店, 芥末
pet_22897, 3377, 壽司店, 芥末
pet_22777, 3377, 超市, 芥末
pet_20208, 3377, 超市, 芥末
pet_22904, 3377, 超級市場, 芥末
pet_22777, 3377, 壽司裡, 芥末
pet_22777, 3377, 生魚片旁, 芥末
pet_21629, 3377, 超市, 辣椒
pet_22765, 3377, 冰箱, 辣椒
pet_22765, 3377, 蔬果店, 辣椒
pet_386, 3377, 菜園, 辣椒
pet_22765, 3377, 菜園, 辣椒
pet_21629, 3377, 調味料, 辣椒
pet_21629, 3377, 菜市場, 辣椒
pet_22913, 3377, 菜市場, 辣椒
pet_22922, 3377, 菜市場, 辣椒
pet_386, 3377, 四川菜, 辣椒
pet_386, 3377, 宮保雞丁, 辣椒
pet_386, 3377, 麻辣麵, 辣椒
pet_22777, 3377, 菜市場, 魚肉
pet_22416, 3377, 菜市場, 魚肉
pet_22897, 3377, 菜市場, 魚肉
pet_22897, 3377, 菜市場, 魚肉
pet_14938, 3377, 菜市場, 魚肉
pet_22897, 3377, 冰箱, 魚肉
pet_22897, 3377, 冰箱, 魚肉
pet_22777, 3377, 超市, 魚肉
pet_14520, 3377, 超市, 魚肉
pet_22897, 3377, 超商, 魚肉
pet_22897, 3377, 超商, 魚肉
pet_22897, 3377, 港口, 魚肉
pet_22897, 3377, 港口, 魚肉
pet_22521, 3377, 鮮魚湯, 魚肉
pet_22897, 3377, 鮮魚湯, 魚肉
pet_22897, 3377, 鮮魚湯, 魚肉
pet_22777, 3377, 漁港, 魚肉
pet_22777, 3377, 魚販店, 魚肉
pet_20785, 3377, 菜市場, 豬腳
pet_22978, 3377, 萬巒, 豬腳
pet_22482, 3377, 萬巒, 豬腳
pet_22761, 3377, 萬巒, 豬腳
pet_20408, 3377, 餐廳, 豬腳
pet_14147, 3377, 餐廳, 豬腳
pet_23011, 3377, 豬腳大王, 豬腳
pet_14505, 3377, 豬腳大王, 豬腳
pet_22761, 3377, 德國, 豬腳
pet_20408, 3377, 屏東, 豬腳
pet_22978, 3377, 廚房, 豬腳
pet_22482, 3377, 市場, 豬腳
pet_22482, 3377, 夜市, 豬腳
pet_22818, 3377, 市場, 海鮮
pet_22765, 3377, 市場, 海鮮
pet_22913, 3377, 餐廳, 海鮮
pet_22777, 3377, 海邊, 海鮮
pet_22913, 3377, 海邊, 海鮮
pet_22777, 3377, 海產店, 海鮮
pet_22818, 3377, 海產店, 海鮮
pet_22761, 3377, 海產店, 海鮮
pet_22765, 3377, 海產店, 海鮮
pet_22913, 3377, 海產店, 海鮮
pet_15121, 3377, 海產店, 海鮮
pet_22761, 3377, 魚市, 海鮮
pet_22761, 3377, 超市, 海鮮
pet_22765, 3377, 超市, 海鮮
pet_22761, 3377, 海底, 海鮮
pet_22777, 3377, 大餐廳, 海鮮
pet_22818, 3377, 港邊, 海鮮
pet_22818, 3377, 大賣場, 海鮮
pet_22893, 3412, 殺價, 裝可憐
pet_21574, 3412, 殺價, 裝可憐
pet_22857, 3412, 殺價, 用力殺
pet_22893, 3412, 殺價, 撒嬌
pet_22904, 3412, 殺價, 撒嬌
pet_8581, 3412, 殺價, 開心
pet_22893, 3412, 殺價, 開心
pet_22777, 3412, 殺價, 大叫
pet_22777, 3412, 殺價, 嫌東嫌西
pet_23108, 3380, 瓦斯, 開火
pet_22777, 3380, 瓦斯, 開火
pet_22935, 3380, 瓦斯, 開火
pet_22708, 3380, 瓦斯, 開火
pet_18488, 3380, 瓦斯, 開火
pet_22979, 3380, 瓦斯爐, 開火
pet_22901, 3380, 瓦斯爐, 開火
pet_18488, 3380, 瓦斯爐, 開火
pet_22901, 3380, 點火器, 開火
pet_15018, 3380, 點火器, 開火
pet_23108, 3380, 槍, 開火
pet_15018, 3380, 槍, 開火
pet_23108, 3380, 打火機, 開火
pet_22979, 3380, 打火機, 開火
pet_22708, 3380, 打火機, 開火
pet_22894, 3380, 打火機, 開火
pet_18488, 3380, 打火機, 開火
pet_15652, 3380, 打火機, 開火
pet_22894, 3380, 火柴, 開火
pet_21611, 3380, 火柴, 開火
pet_22777, 3380, 火藥, 開火
pet_21611, 3380, 火藥, 開火
pet_22708, 3380, 手指頭, 開火
pet_22777, 3380, 手槍, 開火
pet_22777, 3380, 砲彈, 開火
pet_20785, 3412, 打扮, 照鏡子
pet_22897, 3412, 打扮, 照鏡子
pet_22917, 3412, 打扮, 化粧
pet_20785, 3412, 打扮, 化妝
pet_22416, 3412, 打扮, 化妝
pet_15551, 3412, 打扮, 化妝
pet_22951, 3412, 打扮, 開心
pet_20785, 3412, 打扮, 問其他人意見
pet_20785, 3412, 打扮, 試穿很多衣服
pet_22917, 3412, 打扮, 戴隱形眼鏡
pet_22917, 3412, 打扮, 畫眉毛
pet_22986, 3380, 拐杖, 站起來
pet_21322, 3380, 拐杖, 站起來
pet_22666, 3380, 力氣, 站起來
pet_22979, 3380, 力氣, 站起來
pet_22666, 3380, 膝蓋, 站起來
pet_20281, 3380, 腳, 站起來
pet_22979, 3380, 腳, 站起來
pet_22521, 3380, 腳, 站起來
pet_22951, 3380, 腳, 站起來
pet_17984, 3380, 腳, 站起來
pet_22320, 3380, 腳, 站起來
pet_11480, 3380, 腳, 站起來
pet_22320, 3380, 手, 站起來
pet_11480, 3380, 手, 站起來
pet_17984, 3380, 肌肉, 站起來
pet_15595, 3380, 肌肉, 站起來
pet_20281, 3380, 腳掌, 站起來
pet_15595, 3380, 腳掌, 站起來
pet_17984, 3380, 小腦, 站起來
pet_20281, 3380, 大腿, 站起來
pet_17984, 3380, 大腿, 站起來
pet_20281, 3380, 腿部肌肉, 站起來
pet_20281, 3380, 小腿, 站起來
pet_23098, 3380, 手, 吃零食
pet_23031, 3380, 手, 吃零食
pet_22521, 3380, 手, 吃零食
pet_22951, 3380, 手, 吃零食
pet_22904, 3380, 手, 吃零食
pet_22786, 3380, 手, 吃零食
pet_23098, 3380, 嘴巴, 吃零食
pet_23031, 3380, 嘴巴, 吃零食
pet_22521, 3380, 嘴巴, 吃零食
pet_22904, 3380, 嘴巴, 吃零食
pet_22786, 3380, 嘴巴, 吃零食
pet_23098, 3380, 牙齒, 吃零食
pet_23098, 3380, 剪刀, 吃零食
pet_22786, 3380, 剪刀, 吃零食
pet_23031, 3380, 錢, 吃零食
pet_23031, 3380, 筷子, 吃零食
pet_23031, 3380, 飲料, 吃零食
pet_22917, 3412, 發球, 揮拍
pet_22998, 3412, 發球, 丟球
pet_22917, 3412, 發球, 用力
pet_16702, 3412, 發球, 用力
pet_22917, 3412, 發球, 揮球拍
pet_16702, 3412, 發球, 揮球拍
pet_22917, 3412, 發球, 跳
pet_22917, 3412, 發球, 跳
pet_22917, 3412, 發球, 微笑
pet_22917, 3412, 發球, 專心
pet_23091, 3412, 氣喘, 吃藥
pet_17297, 3412, 氣喘, 吃藥
pet_17297, 3412, 氣喘, 吃藥
pet_17297, 3412, 氣喘, 休息
pet_17297, 3412, 氣喘, 休息
pet_23091, 3412, 氣喘, 看醫生
pet_22422, 3412, 氣喘, 看醫生
pet_17297, 3412, 氣喘, 看醫生
pet_17297, 3412, 氣喘, 看醫生
pet_17297, 3412, 氣喘, 拿藥
pet_17297, 3412, 氣喘, 拿藥
pet_22502, 3412, 氣喘, 噴氣管擴張劑
pet_23050, 3365, 手套, 棒球
pet_16838, 3365, 手套, 配件
pet_22893, 3365, 手套, 配件
pet_22897, 3365, 手套, 配件
pet_16838, 3365, 手套, 裝飾
pet_23050, 3365, 手套, 裝飾
pet_23098, 3365, 手套, 打扮
pet_23050, 3380, 腳, 跑
pet_22102, 3380, 腳, 跑
pet_17984, 3380, 腳, 跑
pet_22914, 3380, 腳, 跑
pet_17984, 3380, 腿, 跑
pet_17984, 3380, 大腿, 跑
pet_17984, 3380, 小腿, 跑
pet_17984, 3380, 心肺耐力, 跑
pet_22102, 3380, 手, 跑
pet_22914, 3380, 手, 跑
pet_22940, 3380, 布鞋, 跑
pet_22940, 3380, PU跑道, 跑
pet_22832, 3380, 雙腳, 跑
pet_22940, 3380, 雙腳, 跑
pet_22832, 3380, 跑步鞋, 跑
pet_22102, 3380, 肺臟, 跑
pet_22495, 3380, 藥膏, 疼痛
pet_22414, 3380, 藥膏, 疼痛
pet_23050, 3380, 止痛劑, 疼痛
pet_22761, 3380, 止痛劑, 疼痛
pet_23048, 3380, 止痛藥, 疼痛
pet_22495, 3380, 止痛藥, 疼痛
pet_22832, 3380, 止痛藥, 疼痛
pet_22839, 3380, 止痛藥, 疼痛
pet_22495, 3380, 酸痛貼布, 疼痛
pet_22495, 3380, 阿斯匹靈, 疼痛
pet_23048, 3380, 普拿疼, 疼痛
pet_11423, 3380, 普拿疼, 疼痛
pet_23050, 3380, 普拿疼, 疼痛
pet_23048, 3380, 阿斯匹林, 疼痛
pet_23048, 3380, 麻藥, 疼痛
pet_23048, 3380, 麻醉劑, 疼痛
pet_21179, 3412, 熱身, 拉筋
pet_23080, 3412, 熱身, 慢跑
pet_23050, 3412, 熱身, 蹲下
pet_23080, 3412, 熱身, 做體操
pet_22986, 3412, 熱身, 做體操
pet_23050, 3412, 熱身, 聽音樂
pet_23050, 3412, 熱身, 動起來
pet_23098, 3412, 熱身, 作體操
pet_23164, 3412, 熱身, 流汗
pet_23232, 3412, 熱身, 做操
pet_23144, 3365, 鞋帶, 鞋子
pet_11423, 3365, 鞋帶, 鞋子
pet_22913, 3365, 鞋帶, 鞋子
pet_23098, 3365, 鞋帶, 鞋子
pet_20785, 3365, 鞋帶, 鞋子
pet_22149, 3365, 鞋帶, 鞋子
pet_20785, 3365, 鞋帶, 鞋子
pet_22986, 3365, 鞋帶, 鞋子
pet_22893, 3365, 鞋帶, 鞋子
pet_22521, 3365, 鞋帶, 鞋子
pet_22502, 3365, 鞋帶, 鞋子
pet_7179, 3365, 鞋帶, 鞋子
pet_20785, 3365, 鞋帶, 售貨店貨品
pet_23048, 3377, 運動用品店, 球棒
pet_14506, 3377, 運動用品店, 球棒
pet_23017, 3377, 體育器材室, 球棒
pet_56, 3377, 體育器材室, 球棒
pet_14506, 3377, 體育器材室, 球棒
pet_386, 3377, 棒球場, 球棒
pet_56, 3377, 棒球場, 球棒
pet_14506, 3377, 棒球場, 球棒
pet_386, 3377, 體育用品店, 球棒
pet_15670, 3377, 體育用品店, 球棒
pet_23017, 3377, 球隊, 球棒
pet_386, 3377, 體育館, 球棒
pet_23048, 3377, 球場, 球棒
pet_23024, 3377, 球場, 球棒
pet_23017, 3377, 球場, 球棒
pet_23017, 3377, 大魯閣, 球棒
pet_56, 3377, 體育場, 球棒
pet_56, 3377, 幫派口角, 球棒
pet_23017, 3377, 黑道份子家裡, 球棒
pet_23048, 3377, 討債集團本營, 球棒
pet_23048, 3377, 打擊手手上, 球棒
pet_23048, 3377, 防身用品店, 球棒
pet_23024, 3377, 地上, 球棒
pet_23024, 3377, 架子, 球棒
pet_23024, 3377, 箱子, 球棒
pet_23103, 3377, 鳥, 羽毛
pet_23103, 3377, 雞, 羽毛
pet_23098, 3377, 雞身上, 羽毛
pet_19806, 3377, 雞身上, 羽毛
pet_23098, 3377, 鳥身上, 羽毛
pet_22914, 3377, 鳥身上, 羽毛
pet_19806, 3377, 鵝身上, 羽毛
